;"Alter;Einkommen;Preis;Geschlecht;Zeit;KundeNr"
497;"57;68664.0;118552.48;0.0;58.0;K1070"
498;"66;83118.0;113976.31;0.0;67.0;K0182"
499;"37;54403.0;53690.36;0.0;47.0;K0364"
500;"48;58620.0;95311.77;1.0;52.0;K0559"
501;"37;44398.0;57851.21;0.0;39.0;K0275"
502;"53;47554.0;85424.37;1.0;37.0;K0835"
503;"37;42600.0;65540.55;0.0;25.0;K0252"
504;"50;59505.0;78150.23;0.0;37.0;K0070"
505;"62;47766.0;91150.03;1.0;47.0;K0292"
506;"66;73170.0;109500.77;0.0;54.0;K0132"
507;"59;81225.0;111772.36;1.0;57.0;K0301"
508;"42;47660.0;69281.41;0.0;46.0;K0567"
509;"56;45484.0;68018.6;1.0;35.0;K0327"
510;"40;33908.0;69238.65;1.0;45.0;K0848"
511;"57;65311.0;87351.94;1.0;47.0;K0145"
512;"51;59485.0;96388.95;0.0;49.0;K0500"
513;"41;50613.0;81875.89;1.0;35.0;K0905"
514;"30;47053.0;85990.12;1.0;39.0;K1095"
515;"59;69178.0;80282.57;1.0;48.0;K0496"
516;"53;62497.0;95797.57;1.0;47.0;K0339"
517;"42;58398.0;86430.54;1.0;38.0;K0804"
518;"62;84681.0;115423.31;0.0;50.0;K0165"
519;"45;47574.0;87328.47;1.0;33.0;K0029"
520;"41;46486.0;79483.05;1.0;40.0;K0517"
521;"46;58938.0;78516.69;1.0;57.0;K0194"
522;"46;37812.0;67614.67;1.0;39.0;K0693"
523;"53;70392.0;89785.65;1.0;59.0;K0170"
524;"45;45742.0;83874.88;0.0;39.0;K0599"
525;"31;39454.0;65981.74;1.0;39.0;K0174"
526;"50;57994.0;93543.59;1.0;49.0;K0519"
527;"67;79290.0;122565.05;1.0;46.0;K0853"
528;"47;45296.0;69529.36;0.0;40.0;K0592"
529;"52;66942.0;90579.78;0.0;50.0;K0492"
530;"55;63491.0;115135.5;1.0;39.0;K0074"
531;"66;65032.0;96232.71;1.0;53.0;K0920"
532;"31;60920.0;92362.74;0.0;49.0;K0235"
533;"49;67407.0;96728.92;1.0;49.0;K0215"
534;"54;60464.0;79245.06;0.0;55.0;K0793"
535;"52;80319.0;124885.27;0.0;51.0;K0133"
536;"57;75502.0;112788.96;1.0;61.0;K0616"
537;"52;50014.0;86755.55;1.0;38.0;K0788"
538;"48;31841.0;58334.15;1.0;28.0;K0186"
539;"55;54161.0;104859.86;1.0;36.0;K0042"
540;"56;74257.0;110427.22;0.0;49.0;K0109"
541;"62;60595.0;101207.94;0.0;36.0;K0712"
542;"67;89170.0;123408.48;1.0;76.0;K1093"
543;"42;45845.0;97820.78;1.0;42.0;K0875"
544;"68;89120.0;135200.0;0.0;55.0;K0484"
545;"33;49726.0;71847.89;1.0;41.0;K0469"
546;"51;50677.0;83785.2;0.0;34.0;K0025"
547;"55;66128.0;117054.79;0.0;43.0;K0924"
548;"51;68102.0;101089.53;1.0;52.0;K0910"
549;"53;80451.0;112949.61;1.0;58.0;K0895"
550;"30;30285.0;49774.03;1.0;22.0;K0908"
551;"33;45996.0;70449.86;1.0;29.0;K0367"
552;"66;78982.0;116107.59;1.0;45.0;K0794"
553;"38;33666.0;50494.07;1.0;13.0;K0384"
554;"60;70713.0;93794.62;0.0;48.0;K0455"
555;"64;79102.0;120716.52;1.0;54.0;K0265"
556;"43;56035.0;83116.94;1.0;51.0;K0781"
557;"70;90512.0;133444.42;1.0;56.0;K0818"
558;"66;82404.0;113241.16;0.0;55.0;K0445"
559;"51;62402.0;106473.29;1.0;55.0;K0396"
560;"46;62212.0;81404.44;1.0;42.0;K0177"
561;"59;72303.0;101687.09;0.0;44.0;K0019"
562;"44;44135.0;90278.48;1.0;50.0;K0595"
563;"49;62203.0;85122.57;1.0;43.0;K0724"
564;"65;65989.0;102710.38;1.0;44.0;K0062"
565;"50;59828.0;87813.11;0.0;46.0;K0273"
566;"38;47762.0;72194.21;1.0;39.0;K1037"
567;"62;56784.0;80874.62;0.0;38.0;K0279"
568;"59;64556.0;115909.26;1.0;52.0;K0707"
569;"61;72628.0;107586.29;0.0;43.0;K0369"
570;"32;26860.0;37058.29;0.0;26.0;K0744"
571;"44;49072.0;68862.67;1.0;43.0;K0978"
572;"35;48297.0;62369.93;1.0;37.0;K0823"
573;"48;60494.0;85749.76;1.0;39.0;K0548"
574;"37;41869.0;62593.9;1.0;29.0;K0737"
575;"30;45604.0;69872.12;1.0;35.0;K0756"
576;"64;74222.0;108488.51;1.0;50.0;K0457"
577;"68;72078.0;93935.85;1.0;51.0;K0394"
578;"59;65278.0;91121.52;1.0;42.0;K0831"
579;"47;46708.0;70719.18;1.0;31.0;K1006"
580;"48;47062.0;79825.38;0.0;34.0;K0376"
581;"55;66738.0;120215.5;1.0;52.0;K0413"
582;"54;56229.0;97038.57;0.0;40.0;K0075"
583;"69;76330.0;120784.01;1.0;47.0;K1033"
584;"42;53660.0;77862.18;1.0;37.0;K0501"
585;"30;31727.0;62658.18;0.0;20.0;K0674"
586;"32;42406.0;45125.2;1.0;39.0;K0115"
587;"59;64816.0;102801.02;1.0;54.0;K0418"
588;"64;83452.0;133180.7;;62.0;K0090"
589;"53;77106.0;111716.45;1.0;51.0;K1057"
590;"54;43162.0;81298.0;1.0;34.0;K0499"
591;"45;42110.0;67204.52;1.0;33.0;K0733"
592;"33;27264.0;49485.54;1.0;15.0;K0740"
593;"65;73235.0;115599.05;0.0;40.0;K0012"
594;"58;70268.0;103403.43;1.0;48.0;K0397"
595;"39;35011.0;57408.01;0.0;32.0;K0668"
596;"69;61320.0;113385.31;1.0;50.0;K0946"
597;"31;26047.0;63491.25;1.0;24.0;K0043"
598;"61;76325.0;116425.9;1.0;45.0;K0168"
599;"62;84673.0;118973.65;1.0;57.0;K0417"
600;"57;77726.0;125762.16;0.0;56.0;K0577"
601;"63;80199.0;138366.29;0.0;70.0;K0904"
602;"48;77759.0;130352.49;0.0;42.0;K0427"
603;"58;63366.0;104762.36;1.0;49.0;K0545"
604;"44;62396.0;94641.94;0.0;43.0;K1034"
605;"45;45825.0;80681.1;1.0;42.0;K1084"
606;"35;35242.0;63070.96;1.0;34.0;K0844"
607;"54;72410.0;117491.52;1.0;53.0;K0741"
608;"54;49596.0;68169.84;0.0;40.0;K0258"
609;"55;50959.0;88240.21;1.0;46.0;K0336"
610;"51;47883.0;90273.18;1.0;45.0;K0016"
611;"70;89117.0;128700.13;0.0;63.0;K0758"
612;"52;66602.0;98756.07;;45.0;K0325"
613;"40;56643.0;96334.06;0.0;35.0;K0913"
614;"64;92461.0;105443.46;1.0;66.0;K0906"
615;"69;83089.0;136022.46;1.0;42.0;K0223"
616;"57;75347.0;111539.65;0.0;49.0;K0180"
617;"41;63780.0;90449.48;0.0;47.0;K0100"
618;"45;38876.0;78038.11;1.0;45.0;K0522"
619;"62;75575.0;124516.56;1.0;50.0;K0023"
620;"54;51135.0;95898.4;1.0;36.0;K0357"
621;"54;71828.0;99915.01;0.0;54.0;K0802"
622;"52;58284.0;93481.79;1.0;43.0;K1025"
623;"57;62292.0;99289.0;1.0;46.0;K0612"
624;"69;85191.0;134143.64;0.0;55.0;K1071"
625;"36;28194.0;33483.78;0.0;33.0;K0341"
626;"45;45178.0;70342.95;0.0;43.0;K0432"
627;"59;70484.0;107496.17;0.0;58.0;K0852"
628;"56;79765.0;117216.16;1.0;59.0;K0991"
629;"38;38681.0;65930.74;1.0;36.0;K0204"
630;"55;53760.0;93912.15;0.0;33.0;K0760"
631;"68;83716.0;125611.48;0.0;53.0;K0094"
632;"55;62026.0;79649.63;0.0;61.0;K1039"
633;"69;71612.0;116360.51;1.0;42.0;K0069"
634;"47;60658.0;87172.44;0.0;39.0;K0751"
635;"67;87141.0;147149.94;0.0;65.0;K0285"
636;"51;66558.0;115445.45;1.0;54.0;K1060"
637;"31;28390.0;59963.88;0.0;29.0;K0435"
638;"30;14993.0;33678.17;0.0;34.0;K0154"
639;"70;86939.0;132147.29;0.0;67.0;K0076"
640;"32;43734.0;49055.81;0.0;34.0;K0876"
641;"35;39852.0;63972.97;1.0;35.0;K0581"
642;"32;30856.0;27934.83;1.0;18.0;K0447"
643;"61;73383.0;105062.59;0.0;49.0;K0189"
644;"43;54023.0;67446.84;1.0;36.0;K0272"
645;"41;62190.0;72016.19;1.0;46.0;K0237"
646;"61;72690.0;101692.85;0.0;55.0;K0488"
647;"49;56341.0;83125.26;1.0;45.0;K1068"
648;"68;76627.0;106279.31;1.0;59.0;K0560"
649;"55;51515.0;78247.78;0.0;51.0;K0118"
650;"42;44684.0;87308.31;0.0;39.0;K0884"
651;"62;79791.0;101275.87;0.0;48.0;K0972"
652;"48;67677.0;94002.32;1.0;42.0;K0513"
653;"54;42499.0;75331.36;1.0;45.0;K0634"
654;"67;94092.0;135212.01;1.0;63.0;K0662"
655;"65;59789.0;96988.98;1.0;45.0;K0959"
656;"59;68591.0;85536.41;1.0;50.0;K0715"
657;"61;83098.0;116002.86;1.0;53.0;K0127"
658;"34;39181.0;41898.43;0.0;39.0;K0117"
659;"50;65573.0;99556.57;1.0;40.0;K0474"
660;"35;58918.0;82500.37;1.0;57.0;K0829"
661;"47;57101.0;79106.97;1.0;43.0;K0058"
662;"61;63590.0;86929.76;0.0;34.0;K0604"
663;"70;68456.0;111312.94;1.0;51.0;K0810"
664;"57;81401.0;113014.09;1.0;49.0;K0657"
665;"41;49301.0;68579.84;1.0;49.0;K0759"
666;"64;75171.0;112055.97;1.0;53.0;K0106"
667;"39;45869.0;80389.23;1.0;32.0;K0636"
668;"59;55669.0;84097.56;0.0;31.0;K0370"
669;"62;63275.0;110109.58;1.0;38.0;K0269"
670;"35;51440.0;76009.29;0.0;50.0;K0656"
671;"37;45467.0;75752.08;1.0;43.0;K0047"
672;"44;47183.0;70636.85;1.0;34.0;K0350"
673;"53;70100.0;107089.66;1.0;54.0;K0196"
674;"52;69175.0;103778.57;1.0;54.0;K0103"
675;"34;16069.0;36929.31;0.0;20.0;K0992"
676;"68;54974.0;83002.22;1.0;42.0;K0947"
677;"43;58063.0;93120.95;1.0;45.0;K0916"
678;"39;42008.0;69244.54;0.0;45.0;K0882"
679;"31;31826.0;61856.99;0.0;20.0;K0264"
680;"57;66921.0;95988.37;0.0;57.0;K1062"
681;"62;84548.0;110128.73;1.0;58.0;K0444"
682;"47;69003.0;102390.57;0.0;46.0;K0811"
683;"35;40901.0;66275.03;1.0;49.0;K0878"
684;"70;84543.0;128417.08;1.0;60.0;K0305"
685;"65;88138.0;123538.59;0.0;58.0;K0342"
686;"41;38996.0;66237.4;0.0;28.0;K1002"
687;"52;68820.0;88926.82;0.0;45.0;K0314"
688;"57;57191.0;96831.38;0.0;53.0;K0150"
689;"55;67004.0;114150.05;1.0;51.0;K0125"
690;"52;66760.0;103242.45;1.0;45.0;K0937"
691;"53;53504.0;98914.66;1.0;42.0;K0977"
692;"66;82882.0;127752.43;0.0;56.0;K0665"
693;"65;70352.0;92584.18;0.0;49.0;K0051"
694;"61;65481.0;95229.38;1.0;44.0;K0354"
695;"55;51720.0;98714.27;1.0;34.0;K1061"
696;"31;36296.0;35482.61;0.0;31.0;K0143"
697;"58;65705.0;102678.3;0.0;57.0;K0471"
698;"30;23521.0;24543.56;1.0;24.0;K0654"
699;"55;67168.0;95526.72;0.0;57.0;K0400"
700;"50;59847.0;95607.73;1.0;43.0;K0754"
701;"69;69084.0;107414.81;1.0;41.0;K0321"
702;"67;78468.0;123598.99;0.0;47.0;K0020"
703;"55;77056.0;118343.37;1.0;54.0;K0685"
704;"62;80910.0;108522.61;0.0;59.0;K0962"
705;"46;46834.0;71854.37;1.0;47.0;K0941"
706;"37;50552.0;83913.36;1.0;45.0;K0999"
707;"59;79812.0;112833.38;1.0;50.0;K0408"
708;"36;41243.0;55677.0;1.0;31.0;K0538"
709;"44;39771.0;72076.48;1.0;32.0;K0953"
710;"33;57513.0;62722.06;0.0;44.0;K0966"
711;"120;61857.0;104214.07;1.0;52.0;K0039"
712;"66;61785.0;108131.17;0.0;52.0;K0176"
713;"32;40729.0;54787.08;1.0;33.0;K0246"
714;"31;30097.0;59710.03;1.0;26.0;K0985"
715;"46;47322.0;73162.63;1.0;34.0;K0803"
716;"43;35922.0;51533.78;0.0;27.0;K0901"
717;"54;85929.0;129836.57;1.0;66.0;K1054"
718;"56;73496.0;94040.73;0.0;47.0;K0155"
719;"62;76582.0;124774.93;0.0;61.0;K0639"
720;"32;45882.0;78435.1;1.0;45.0;K0663"
721;"56;58547.0;99077.0;0.0;60.0;K0288"
722;"42;56364.0;66173.96;1.0;50.0;K0626"
723;"63;66387.0;112799.7;0.0;44.0;K0686"
724;"34;43401.0;58491.97;1.0;36.0;K0880"
725;"57;40164.0;77779.65;0.0;46.0;K0570"
726;"38;35130.0;52189.58;1.0;51.0;K0890"
727;"53;55741.0;83296.61;0.0;41.0;K0018"
728;"68;93769.0;137923.28;1.0;42.0;K0128"
729;"61;67757.0;107610.75;0.0;47.0;K0323"
730;"49;35194.0;65668.36;1.0;28.0;K0256"
731;"67;91461.0;131748.07;;66.0;K0790"
732;"47;40566.0;54913.08;0.0;30.0;K1087"
733;"61;68606.0;99514.15;1.0;41.0;K0191"
734;"30;45256.0;62326.68;1.0;37.0;K0116"
735;"58;60549.0;95376.05;0.0;44.0;K1081"
736;"34;40849.0;60157.5;1.0;36.0;K1013"
737;"67;80824.0;132575.6;1.0;52.0;K0607"
738;"52;63832.0;84810.82;0.0;35.0;K0181"
739;"58;48580.0;77722.17;1.0;32.0;K0302"
740;"64;71888.0;108277.84;0.0;49.0;K0907"
741;"31;29275.0;51628.74;1.0;30.0;K0854"
742;"41;39563.0;78550.75;1.0;39.0;K0867"
743;"55;59442.0;88964.7;1.0;36.0;K0821"
744;"68;67429.0;100668.95;0.0;54.0;K0797"
745;"54;71244.0;92301.85;1.0;51.0;K0518"
746;"45;50903.0;79988.48;1.0;52.0;K0373"
747;"36;69703.0;86119.52;0.0;50.0;K0046"
748;"66;76920.0;113661.11;1.0;53.0;K0477"
749;"32;52664.0;72598.33;1.0;53.0;K0158"
750;"46;58260.0;104933.18;1.0;43.0;K0891"
751;"41;59921.0;111734.31;0.0;40.0;K0172"
752;"31;42377.0;69094.76;1.0;31.0;K0017"
753;"60;64260.0;95392.37;0.0;33.0;K0512"
754;"43;42342.0;66374.97;1.0;37.0;K0049"
755;"33;30037.0;62787.47;1.0;28.0;K0192"
756;"52;84942.0;110785.84;1.0;49.0;K1000"
757;"64;84143.0;106701.56;0.0;42.0;K0516"
758;"39;40159.0;67170.69;1.0;37.0;K1102"
759;"63;71039.0;98163.51;1.0;48.0;K0822"
760;"64;64626.0;113550.22;0.0;55.0;K0481"
761;"67;93757.0;134096.72;1.0;54.0;K0284"
762;"35;52473.0;86012.47;1.0;57.0;K0860"
763;"32;47570.0;82420.11;1.0;38.0;K0787"
764;"57;73261.0;95081.32;0.0;52.0;K0226"
765;"56;61920.0;94455.39;1.0;49.0;K0027"
766;"43;70080.0;94723.69;0.0;48.0;K0933"
767;"56;74505.0;103566.8;1.0;50.0;K0438"
768;"42;70246.0;94369.73;1.0;44.0;K1075"
769;"34;24647.0;49746.45;1.0;26.0;K0365"
770;"59;61009.0;103904.6;0.0;40.0;K0230"
771;"33;41309.0;82824.09;1.0;25.0;K0038"
772;"46;62109.0;79387.46;1.0;50.0;K0670"
773;"34;45499.0;58717.86;1.0;40.0;K0750"
774;"30;37341.0;41316.33;1.0;32.0;K1088"
775;"59;56937.0;109491.66;1.0;55.0;K0375"
776;"40;41023.0;59175.54;0.0;49.0;K0470"
777;"43;53520.0;94866.27;1.0;44.0;K1089"
778;"41;31809.0;44588.0;1.0;27.0;K0688"
779;"33;43075.0;60255.17;1.0;37.0;K1012"
780;"53;43943.0;71806.29;1.0;35.0;K0842"
781;"43;48335.0;68096.85;0.0;42.0;K0870"
782;"67;72430.0;116130.92;1.0;43.0;K0195"
783;"55;52440.0;73482.49;0.0;41.0;K1043"
784;"66;79684.0;111685.27;0.0;44.0;K1027"
785;"41;49106.0;60659.78;1.0;35.0;K0504"
786;"31;32891.0;59486.79;0.0;34.0;K1090"
787;"65;79806.0;124673.13;0.0;69.0;K0988"
788;"67;93933.0;124053.4;0.0;61.0;K0580"
789;"37;45011.0;63758.96;1.0;38.0;K0161"
790;"57;68984.0;81325.05;0.0;41.0;K0681"
791;"64;70698.0;118855.24;1.0;45.0;K1041"
792;"38;49724.0;69448.24;0.0;33.0;K0163"
793;"47;51053.0;89354.82;1.0;49.0;K0706"
794;"37;66600.0;86748.87;1.0;49.0;K1015"
795;"62;64538.0;113786.43;1.0;49.0;K0153"
796;"48;48903.0;59895.32;0.0;38.0;K0817"
797;"49;65479.0;92555.99;1.0;45.0;K0866"
798;"38;61052.0;93849.29;1.0;39.0;K0903"
799;"64;79138.0;114319.8;0.0;59.0;K0112"
800;"54;70130.0;127478.45;1.0;46.0;K0227"
801;"66;74400.0;114577.68;1.0;51.0;K0824"
802;"53;59879.0;92542.02;1.0;39.0;K0104"
803;"34;39127.0;71127.46;0.0;27.0;K0422"
804;"52;77055.0;121764.28;1.0;60.0;K0420"
805;"64;91409.0;140161.07;1.0;76.0;K0897"
806;"66;86787.0;127064.84;0.0;54.0;K0587"
807;"68;80968.0;135002.85;1.0;47.0;K0931"
808;"38;45470.0;72615.51;1.0;40.0;K0673"
809;"68;80444.0;131551.59;1.0;44.0;K0120"
810;"31;33214.0;58416.51;1.0;31.0;K0054"
811;"68;73781.0;120941.76;0.0;55.0;K0152"
812;"58;54668.0;99426.78;1.0;42.0;K0404"
813;"48;45545.0;75700.83;0.0;30.0;K1103"
814;"32;35961.0;42830.37;0.0;28.0;K0208"
815;"34;43862.0;91438.09;1.0;32.0;K0659"
816;"69;84021.0;133358.19;1.0;56.0;K1005"
817;"58;48755.0;95736.22;1.0;43.0;K0911"
818;"40;50085.0;68956.52;0.0;42.0;K0009"
819;"58;67540.0;106543.4;1.0;47.0;K0960"
820;"47;63067.0;102867.75;1.0;41.0;K0037"
821;"42;47953.0;65155.0;1.0;45.0;K0453"
822;"70;86609.0;142906.55;1.0;60.0;K0652"
823;"67;53207.0;90531.33;1.0;41.0;K0254"
824;"64;82125.0;99958.46;0.0;66.0;K0304"
825;"40;40278.0;45917.71;1.0;37.0;K0893"
826;"70;80568.0;120515.75;0.0;43.0;K0572"
827;"62;70035.0;98348.59;1.0;52.0;K0624"
828;"33;41209.0;56426.61;1.0;30.0;K0849"
829;"63;80414.0;101554.64;1.0;49.0;K1104"
830;"35;41525.0;75726.31;1.0;30.0;K0851"
831;"47;67211.0;84216.96;1.0;45.0;K0263"
832;"37;48132.0;63544.0;1.0;32.0;K0611"
833;"64;72069.0;116154.84;1.0;47.0;K0298"
834;"68;107689.0;165482.31;1.0;60.0;K0415"
835;"54;56914.0;83783.08;0.0;36.0;K0151"
836;"62;73197.0;115604.15;0.0;41.0;K0939"
837;"57;40366.0;58229.04;1.0;23.0;K0779"
838;"47;55970.0;76520.05;1.0;40.0;K0641"
839;"70;73211.0;121272.09;0.0;64.0;K1040"
840;"51;51743.0;91562.01;1.0;42.0;K0551"
841;"62;75303.0;116978.57;1.0;48.0;K0942"
842;"66;64077.0;109821.52;1.0;48.0;K0489"
843;"35;35300.0;58384.57;1.0;33.0;K0820"
844;"67;71177.0;112500.75;1.0;57.0;K0711"
845;"59;79235.0;130383.85;0.0;68.0;K0148"
846;"49;52215.0;87326.82;1.0;37.0;K0147"
847;"48;54204.0;86153.64;0.0;54.0;K0863"
848;"45;40446.0;76851.18;0.0;41.0;K0346"
849;"69;79491.0;127058.7;1.0;74.0;K0885"
850;"38;46165.0;60325.44;1.0;35.0;K1036"
851;"60;56507.0;84172.64;0.0;41.0;K0660"
852;"65;69167.0;110950.37;1.0;42.0;K0771"
853;"52;81387.0;91299.91;1.0;55.0;K0349"
854;"39;47664.0;71040.72;1.0;36.0;K0464"
855;"31;43389.0;52734.87;0.0;47.0;K0326"
856;"31;39617.0;60089.79;1.0;35.0;K0187"
857;"44;52258.0;72060.58;0.0;47.0;K0124"
858;"57;76694.0;120681.69;0.0;58.0;K1016"
859;"53;66225.0;78191.01;1.0;49.0;K0609"
860;"35;56593.0;74955.3;1.0;51.0;K0144"
861;"57;60125.0;89090.25;1.0;41.0;K0752"
862;"58;56452.0;86683.9;0.0;37.0;K1082"
863;"63;76247.0;103879.52;1.0;40.0;K0198"
864;"57;81624.0;123507.46;1.0;63.0;K0610"
865;"32;55589.0;60798.72;0.0;44.0;K0837"
866;"41;28790.0;55293.51;0.0;44.0;K0280"
867;"62;68397.0;92611.11;0.0;49.0;K0294"
868;"65;52291.0;83234.33;0.0;40.0;K0989"
869;"45;46062.0;61105.39;1.0;25.0;K0401"
870;"44;57848.0;81081.18;1.0;43.0;K0123"
871;"62;73353.0;104733.83;0.0;51.0;K0184"
872;"62;75407.0;115505.36;1.0;55.0;K0203"
873;"49;63205.0;92627.74;0.0;35.0;K0439"
874;"38;46525.0;80802.74;1.0;34.0;K0836"
875;"49;73660.0;107200.27;1.0;51.0;K0247"
876;"65;72055.0;105462.29;1.0;51.0;K0416"
877;"54;55557.0;72637.98;1.0;38.0;K0927"
878;"70;77481.0;114318.99;1.0;60.0;K0914"
879;"63;69742.0;94365.56;1.0;43.0;K1050"
880;"64;65754.0;95513.44;1.0;53.0;K0918"
881;"33;47124.0;79603.78;1.0;35.0;K0053"
882;"33;37491.0;53138.58;0.0;32.0;K0130"
883;"34;27982.0;31074.53;0.0;28.0;K0638"
884;"51;58438.0;90811.71;1.0;52.0;K0403"
885;"67;69567.0;128522.22;1.0;53.0;K0935"
886;"34;23826.0;48808.86;0.0;34.0;K0921"
887;"45;62178.0;85463.8;1.0;46.0;K0736"
888;"44;68447.0;96292.93;0.0;47.0;K0855"
889;"53;59694.0;91743.18;1.0;40.0;K1053"
890;"69;74254.0;102553.46;1.0;63.0;K0220"
891;"61;74239.0;106676.91;1.0;65.0;K0642"
892;"58;65271.0;106258.99;1.0;44.0;K0002"
893;"60;73978.0;109383.25;0.0;44.0;K0899"
894;"59;80507.0;122494.92;1.0;52.0;K1076"
895;"36;27831.0;38628.85;0.0;37.0;K0081"
896;"49;58030.0;102268.68;1.0;38.0;K0625"
897;"67;88160.0;116308.36;0.0;67.0;K0997"
898;"69;80988.0;130219.27;0.0;57.0;K0909"
899;"30;40170.0;63566.56;1.0;44.0;K0387"
900;"59;63905.0;94428.01;1.0;38.0;K1092"
901;"33;41016.0;61945.93;0.0;36.0;K0807"
902;"57;57867.0;78941.48;0.0;35.0;K0510"
903;"65;73022.0;100337.77;0.0;64.0;K0268"
904;"67;78366.0;109630.95;1.0;55.0;K0973"
905;"64;67455.0;116446.72;1.0;38.0;K0442"
906;"46;46352.0;76759.63;1.0;22.0;K0497"
907;"33;34894.0;60765.14;1.0;29.0;K0830"
908;"66;70138.0;102407.29;1.0;59.0;K0113"
909;"59;61988.0;83817.23;0.0;34.0;K0692"
910;"45;62886.0;91266.15;1.0;50.0;K0233"
911;"65;82579.0;119442.59;0.0;52.0;K0472"
912;"41;38158.0;49170.73;0.0;37.0;K0608"
913;"43;41643.0;68969.85;0.0;25.0;K0672"
914;"42;63339.0;90132.53;1.0;54.0;K0374"
915;"50;45848.0;48780.22;1.0;47.0;K0827"
916;"52;58625.0;113237.35;1.0;46.0;K0664"
917;"42;41463.0;74976.67;1.0;43.0;K1004"
918;"55;66624.0;94540.15;1.0;36.0;K0234"
919;"66;95730.0;138765.11;1.0;63.0;K0819"
920;"62;66385.0;110890.06;1.0;45.0;K0936"
921;"30;28784.0;42416.07;1.0;34.0;K0677"
922;"54;72215.0;117790.98;1.0;42.0;K0318"
923;"42;55975.0;80767.86;0.0;38.0;K0649"
924;"45;60218.0;102902.04;1.0;41.0;K0411"
925;"40;40385.0;60570.44;0.0;38.0;K1044"
926;"63;58435.0;87561.26;1.0;47.0;K0710"
927;"51;40228.0;64816.33;1.0;31.0;K0359"
928;"64;64196.0;107141.39;1.0;48.0;K0259"
929;"56;81045.0;125101.5;0.0;58.0;K0745"
930;"58;49747.0;77878.69;1.0;48.0;K0628"
931;"34;65070.0;98105.63;1.0;57.0;K0633"
932;"59;76842.0;94309.74;0.0;47.0;K0283"
933;"46;40684.0;66968.71;1.0;36.0;K0377"
934;"41;46713.0;49617.32;1.0;40.0;K0385"
935;"40;50730.0;69432.02;1.0;30.0;K0225"
936;"61;59927.0;100903.48;1.0;47.0;K1079"
937;"51;47827.0;71298.43;1.0;39.0;K0967"
938;"54;60025.0;74740.62;1.0;42.0;K0473"
939;"41;62740.0;91641.0;0.0;52.0;K0348"
940;"48;45333.0;65343.65;1.0;40.0;K0506"
941;"30;41029.0;70761.65;0.0;32.0;K0640"
942;"32;23753.0;40179.55;0.0;22.0;K1099"
943;"46;51329.0;77922.3;1.0;32.0;K0798"
944;"42;48275.0;70990.88;1.0;42.0;K0340"
945;"65;60136.0;116989.74;1.0;44.0;K0556"
946;"65;55071.0;90033.88;1.0;41.0;K0620"
947;"43;52541.0;79916.64;0.0;36.0;K1020"
948;"62;79399.0;125617.3;0.0;56.0;K0955"
949;"54;64748.0;104496.28;1.0;47.0;K0646"
950;"62;57795.0;85730.62;0.0;38.0;K1008"
951;"35;59218.0;89824.77;0.0;33.0;K0557"
952;"60;71186.0;115349.19;1.0;53.0;K0682"
953;"54;55199.0;64942.31;1.0;59.0;K0578"
954;"39;61809.0;80843.31;1.0;44.0;K0796"
955;"53;61613.0;99068.03;1.0;50.0;K0086"
956;"64;71112.0;121577.09;1.0;55.0;K0243"
957;"31;44046.0;51186.35;1.0;31.0;K0699"
958;"69;72349.0;103823.85;1.0;61.0;K0839"
959;"35;55716.0;63069.62;1.0;25.0;K0160"
960;"43;53186.0;93969.09;1.0;43.0;K0525"
961;"68;79182.0;125939.52;1.0;48.0;K0036"
962;"38;59079.0;92587.82;1.0;56.0;K0541"
963;"70;95326.0;133593.66;1.0;66.0;K0171"
964;"50;48277.0;88936.09;1.0;47.0;K0655"
965;"50;78249.0;114846.09;1.0;55.0;K0749"
966;"69;0.0;125140.05;1.0;65.0;K1021"
967;"69;77887.0;126098.91;0.0;51.0;K1009"
968;"61;94363.0;137974.71;1.0;50.0;K0485"
969;"60;61431.0;105250.41;1.0;33.0;K0734"
970;"34;46252.0;62891.18;0.0;39.0;K0900"
971;"57;60138.0;102300.93;1.0;35.0;K0096"
972;"48;57825.0;94299.04;1.0;31.0;K0564"
973;"38;35214.0;50205.8;1.0;32.0;K0241"
974;"61;65648.0;100202.5;0.0;51.0;K0743"
975;"49;60621.0;81988.0;1.0;41.0;K0864"
976;"32;61059.0;81549.78;0.0;47.0;K0575"
977;"59;60769.0;72785.83;1.0;53.0;K0691"
978;"37;60379.0;83542.5;0.0;59.0;K0461"
979;"38;51844.0;60596.45;1.0;31.0;K0892"
980;"54;71830.0;113981.18;1.0;44.0;K0554"
981;"55;75123.0;97596.04;1.0;55.0;K0858"
982;"30;29432.0;61522.97;0.0;28.0;K1032"
983;"58;46940.0;78383.96;0.0;36.0;K0207"
984;"45;52953.0;69536.92;1.0;36.0;K0393"
985;"57;68942.0;96688.41;0.0;51.0;K0795"
986;"67;73602.0;124908.81;1.0;56.0;K0871"
987;"32;58361.0;71055.84;0.0;46.0;K0398"
988;"51;71583.0;99159.39;0.0;59.0;K0767"
989;"41;50856.0;87967.12;1.0;42.0;K1010"
990;"70;73363.0;111223.31;0.0;54.0;K0218"
991;"50;56621.0;92898.67;0.0;40.0;K0005"
992;"46;49781.0;73484.48;0.0;48.0;K0769"
993;"40;43259.0;58493.0;1.0;36.0;K0643"
994;"58;67418.0;95613.26;0.0;65.0;K0462"
995;"31;27160.0;40495.11;0.0;26.0;K0943"
